,duration,n_flood,flood_ratio,total_bytes,pkt_rate,mean_iat,min_iat,max_iat,bsm_mean_iat,flood_mean_iat,mean_pkt_size,std_pkt_size,mean_pos_deviation,max_pos_deviation,mean_speed_deviation,seq_anomaly,unique_vehicle_ids
FalseDataInjection,5.305371394918101,3.806021936672086,5.003511957261231,3.049514583352115,3.9317832440915983,6.167629126227295,6.748807267379217,5.188346046744322,1.0719266942581185,1.2082892460103583,1.4722446133645009,2.948196869416584,1.2038615083158846,1.2202248736273609,630266.0115435026,0.027952637569248245,1.0719266940067587
HTTPFlood,3462.62454273101,998.1593336423941,3710.215011012341,3343.5291490243208,285.0814791755252,2743.9454441712724,2342.5998181975974,3313.79661468956,1.0719266942581185,1.6614820860618442,25471.105734050845,49200.23611920939,1.2038615083158846,1.2202248736273609,1.3239796005586153,0.027952637569248245,1.0719266940067587
ICMPFlood,3462.6244895496666,998.1593336423941,3710.2150110123052,0.33522978938785747,285.0814791755258,2743.945444171033,2342.5998181975974,3313.79661468956,1.0719266942581185,1.6614820860618167,126.4332550571544,85.05998968032456,1.2038615083158846,1.2202248736273609,1.3239796005586153,0.027952637569248245,1.0719266940067587
PositionSpoof,5.305371394918101,3.806021936672086,5.003511957261231,3.049514583352115,3.9317832440915983,6.167629126227295,6.748807267379217,5.188346046744322,1.0719266942581185,1.2082892460103583,1.4722446133645009,2.948196869416584,385.40503092688306,178.99380549825275,1.3239796005586153,0.027952637569248245,1.0719266940067587
RandomPosition,5.305371394918101,3.806021936672086,5.003511957261231,3.049514583352115,3.9317832440915983,6.167629126227295,6.748807267379217,5.188346046744322,1.0719266942581185,1.2082892460103583,1.4722446133645009,2.948196869416584,31445.363150073223,65387.44253491518,1.3239796005586153,0.027952637569248245,1.0719266940067587
Replay,5.305371394918101,3.806021936672086,5.003511957261231,3.049514583352115,3.9317832440915983,6.167629126227295,6.748807267379217,5.188346046744322,1.0719266942581185,1.2082892460103583,1.4722446133645009,2.948196869416584,2.1325891028237236,0.5189857326852886,1.3235828363127298,330.6491476091476,1.0719266940067587
SYNFlood,712.1353241058091,5900.772509454446,3964.484878475678,8.63223419585863,1420.7205227590298,2922.481381286251,2342.5998181975974,682.3386925692529,1.0719266942581185,0.00715032065792672,132.10851731011147,38.05282831148421,1.2038615083158846,1.2202248736273609,1.3239796005586153,0.027952637569248245,1.0719266940067587
SlowDoS,5.305371394918101,1.6993998677128268,211.88248922459442,2.8891420910606587,2.5850383831212205,158.00482966256396,2342.5998181975974,5.188346046744322,1.0719266942581185,11571528.708570309,17.676678730657677,474.8495152071611,1.2038615083158846,1.2202248736273609,1.3239796005586153,0.027952637569248245,1.0719266940067587
Sybil,5.305371394918101,3.806021936672086,5.003511957261231,3.049514583352115,3.9317832440915983,6.167629126227295,6.748807267379217,5.188346046744322,1.0719266942581185,1.2082892460103583,1.4722446133645009,2.948196869416584,0.23451952890704947,0.45288510024871964,153.07149066556627,0.027952637569248245,1530.7149066556626
UDPFlood,3765.559004124417,12553.942242086503,4016.948286894497,25577.4739823239,2384.5200821294384,2958.3834688794595,2342.5998181975974,3600.82218733518,1.0719266942581185,0.020719253981528258,5326.047496872057,1981.2722163484975,1.2038615083158846,1.2202248736273609,1.3239796005586153,0.027952637569248245,1.0719266940067587
VehicularDoS,3871.388348375723,3.806021936672086,5.003511957261231,1301.6025525431369,24652.1179716165,3035.1342734858313,2284.1427154294283,3980.7057447582247,468755974627015.4,1.2082892460103583,1.4722446133645009,2.948196869416584,1.2038615083158846,1.2202248736273609,1.3239796005586153,0.027952637569248245,1.0719266940067587
