config,orig_f1,drop_f1,delta_f1,orig_mcc,drop_mcc,delta_mcc
"C=5, α=0.1, E=1",0.6336±0.1755,0.4872±0.2437,-0.1464,0.8144±0.0861,0.7254±0.1321,-0.0890
"C=5, scenario, E=1",0.3951±0.1144,0.4952±0.1148,+0.1001,0.6682±0.0759,0.7181±0.0744,+0.0499
